T;P;p;i;r;cp;lamd;a;mu;v;Pr
100;1.013;0.598;2675.9;2256.8;2.135;2.372;18.58;11.97;20.02;1.08
110;1.43;0.826;2691.4;2230;2.177;2.489;13.83;12.46;15.07;1.09
120;1.98;1.121;2706.5;2202.8;2.206;2.593;10.5;12.85;11.46;1.09
130;2.7;1.496;2720.7;2174.3;2.257;2.686;7.972;13.24;8.85;1.11
140;3.61;1.966;2734.1;2145;2.315;2.791;6/13;13.54;6.89;1.12
150;4.76;2.547;2746.7;2114.4;2.395;2.884;4.728;13.93;5.47;1.16
160;6.18;3.258;2758;2082.6;2.479;3.012;3.722;14.32;4.39;1.18
170;7.92;4.122;2768.9;2049.5;2.583;3.128;2.939;14.72;3.57;1.21
180;10.03;5.157;2778.5;2015.2;2.709;3.268;2.339;15.11;2.93;1.25
190;12.55;6.394;2786.4;1978.8;2.856;3.419;1.872;15.6;2.44;1.3
200;15.55;7.862;2793.1;1940.7;3.023;3.547;1.492;15.99;2.03;1.36
210;19.08;9.588;2798.2;1900.5;3.199;3.722;1.214;16.38;1.71;1.41
220;23.2;11.62;2801.5;1857.8;3.408;3.896;0.983;16.87;1.45;1.47
230;27.98;13.99;2803.2;1813;3.634;4.094;0.806;17.36;1.24;1.54
240;33.48;16.76;2803.2;1765.6;3.881;4.291;0.658;17.76;1.06;1.61
250;39.78;19.98;2801.1;1715.8;4.158;4.512;0.544;18.25;0.913;1.68
260;46.94;23.72;2796.5;1661.4;4.468;4.803;0.453;18.84;0.794;1.75
270;55.05;28.09;2789.8;1604.4;4.815;5.106;0.378;19.32;0.688;1.82
280;64.19;33.19;2779.7;1542.9;5.234;5.489;0.317;19.91;0.6;1.9
290;74.45;39.15;2766.4;1476.3;5.694;5.827;0.261;20.6;0.526;2.01
300;85.92;46.21;2749.2;1404.3;6.28;6.268;0.216;21.29;0.461;2.13
310;98.7;54.58;2727.4;1325.2;7.118;6.838;0.176;21.97;0.403;2.29
320;112.9;64.72;2700.2;1238.1;8.206;7.513;0.141;22.86;0.353;2.5
330;128.65;77.1;2665.9;1139.7;9.881;8.257;0.108;23.94;0.31;2.86
340;146.08;92.76;2621.9;1027.1;12.35;9.304;0.0811;25.21;0.272;3.35
350;165.37;113.6;2564.5;893.1;16.24;10.7;0.058;26.58;0.234;4.03
360;186.74;144;2481.2;719.7;23.03;12.79;0.0386;29.14;0.202;5.23
370;210.53;203;2330.9;438.4;56.52;17.1;0.015;33.75;0.166;11.1
