T;p;cp;lamd;mu;v;a;B;Pr
10;911;1.645;0.151;35414;3883;9.94;8.56;39000
20;903;1.712;0.1485;18560;1514;9.58;8.64;15800
30;894.5;1.758;0.1461;6180;691.2;9.28;8.71;7450
40;887.5;1.804;0.1437;3031;342;8.97;8.79;3810
50;879;1.851;0.1413;1638;186.2;8.69;8.86;2140
60;871.5;1.897;0.1389;961.4;110.6;8.39;8.95;1320
70;864;1.943;0.1363;603.3;69.3;8.14;9.03;858
80;856;1.989;0.134;399.3;46.6;7.89;9.12;591
90;848.2;2.035;0.1314;273.7;32.3;7.61;9.2;424
100;840.7;2.081;0.129;202.1;24;7.33;9.28;327
110;838;2.127;0.1264;145.2;17.4;7.11;9.37;245
120;825;2.173;0.124;110.4;13.4;6.92;9.46;493.5
130;817;2.219;0.1214;87.31;10.7;6.69;9.54;160
140;809.2;2.265;0.1188;70.34;8.7;6.53;9.65;133.3
150;801.6;2.311;0.1168;56.9;7.1;6.25;9.73;113.5
